Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame,
,John Makdessi (12276601),  Maycee Barber (12276595),  Angela Hill (12276594),  Ryan MacDonald (12276607),  Jordan Espinosa (12276610),  Justin Willis (12276592),  48800.0,  32.84,
Avg Fight Time,Curtis Blaydes (12276591),  Maycee Barber (12276595),  Bobby Moffett (12276604),  Ryan MacDonald (12276607),  Jussier Formiga (12276600),  Jordan Espinosa (12276610),  49800.0,  0.6607864358000001,
,John Makdessi (12276601),  Curtis Blaydes (12276591),  Bobby Moffett (12276604),  Ryan MacDonald (12276607),  Jussier Formiga (12276600),  Jordan Espinosa (12276610),  50000.0,  0.6516955267,
,Curtis Blaydes (12276591),  Bobby Moffett (12276604),  Marlon Vera (12276612),  Chris Gutierrez (12276608),  Jussier Formiga (12276600),  Jordan Espinosa (12276610),  49700.0,  0.6516955267,
,Curtis Blaydes (12276591),  Bobby Moffett (12276604),  Marlon Vera (12276612),  Ryan MacDonald (12276607),  Jussier Formiga (12276600),  Jordan Espinosa (12276610),  49300.0,  0.6516955267,
,Curtis Blaydes (12276591),  Maycee Barber (12276595),  Bobby Moffett (12276604),  Randa Markos (12276593),  Jussier Formiga (12276600),  Jordan Espinosa (12276610),  49900.0,  0.6468004218000001,**Max 477
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Back Test PostFight,Sorted by Bovada scores,,,,,,,,
Stephen Thompson (12276589),  Deiveson Figueiredo (12276599),  Marlon Vera (12276612),  Chris Gutierrez (12276608),  Angela Hill (12276594),  Justin Willis (12276592),  49900.0,  930.0,,
John Makdessi (12276601),  Deiveson Figueiredo (12276599),  Marlon Vera (12276612),  Chris Gutierrez (12276608),  Angela Hill (12276594),  Jordan Espinosa (12276610),  50000.0,  920.0,,
John Makdessi (12276601),  Deiveson Figueiredo (12276599),  Marlon Vera (12276612),  Chris Gutierrez (12276608),  Angela Hill (12276594),  Bryce Mitchell (12276603),  49900.0,  920.0,,
Stephen Thompson (12276589),  Alexis Davis (12276597),  Marlon Vera (12276612),  Chris Gutierrez (12276608),  Angela Hill (12276594),  Justin Willis (12276592),  50000.0,  915.0,,
Stephen Thompson (12276589),  Deiveson Figueiredo (12276599),  Marlon Vera (12276612),  Chris Gutierrez (12276608),  Angela Hill (12276594),  Jesus Pinedo (12276602),  49800.0,  910.0,,
John Makdessi (12276601),  Alexis Davis (12276597),  Marlon Vera (12276612),  Chris Gutierrez (12276608),  Angela Hill (12276594),  Bryce Mitchell (12276603),  50000.0,  905.0,,
Curtis Blaydes (12276591),  Maycee Barber (12276595),  Marlon Vera (12276612),  Chris Gutierrez (12276608),  Angela Hill (12276594),  Jesus Pinedo (12276602),  49900.0,  905.0,,
Maycee Barber (12276595),  Deiveson Figueiredo (12276599),  Marlon Vera (12276612),  Chris Gutierrez (12276608),  Angela Hill (12276594),  Jordan Espinosa (12276610),  49800.0,  905.0,,
Maycee Barber (12276595),  Deiveson Figueiredo (12276599),  Marlon Vera (12276612),  Chris Gutierrez (12276608),  Angela Hill (12276594),  Bryce Mitchell (12276603),  49700.0,  905.0,,
Curtis Blaydes (12276591),  Deiveson Figueiredo (12276599),  Marlon Vera (12276612),  Chris Gutierrez (12276608),  Angela Hill (12276594),  Jordan Espinosa (12276610),  49900.0,  900.0,,
Curtis Blaydes (12276591),  Deiveson Figueiredo (12276599),  Marlon Vera (12276612),  Chris Gutierrez (12276608),  Angela Hill (12276594),  Bryce Mitchell (12276603),  49800.0,  900.0,,
Stephen Thompson (12276589),  Alexis Davis (12276597),  Marlon Vera (12276612),  Chris Gutierrez (12276608),  Angela Hill (12276594),  Jesus Pinedo (12276602),  49900.0,  895.0,,
Curtis Blaydes (12276591),  Maycee Barber (12276595),  Deiveson Figueiredo (12276599),  Chris Gutierrez (12276608),  Angela Hill (12276594),  Jesus Pinedo (12276602),  50000.0,  895.0,,
Maycee Barber (12276595),  Alexis Davis (12276597),  Marlon Vera (12276612),  Chris Gutierrez (12276608),  Angela Hill (12276594),  Jordan Espinosa (12276610),  49900.0,  890.0,,
Maycee Barber (12276595),  Alexis Davis (12276597),  Marlon Vera (12276612),  Chris Gutierrez (12276608),  Angela Hill (12276594),  Bryce Mitchell (12276603),  49800.0,  890.0,,
Stephen Thompson (12276589),  Alexis Davis (12276597),  Deiveson Figueiredo (12276599),  Chris Gutierrez (12276608),  Angela Hill (12276594),  Jesus Pinedo (12276602),  50000.0,  885.0,,
Curtis Blaydes (12276591),  Alexis Davis (12276597),  Marlon Vera (12276612),  Chris Gutierrez (12276608),  Angela Hill (12276594),  Jordan Espinosa (12276610),  50000.0,  885.0,,
Curtis Blaydes (12276591),  Alexis Davis (12276597),  Marlon Vera (12276612),  Chris Gutierrez (12276608),  Angela Hill (12276594),  Bryce Mitchell (12276603),  49900.0,  885.0,,
Maycee Barber (12276595),  Alexis Davis (12276597),  Deiveson Figueiredo (12276599),  Chris Gutierrez (12276608),  Angela Hill (12276594),  Jordan Espinosa (12276610),  50000.0,  880.0,,
Maycee Barber (12276595),  Alexis Davis (12276597),  Deiveson Figueiredo (12276599),  Chris Gutierrez (12276608),  Angela Hill (12276594),  Bryce Mitchell (12276603),  49900.0,  880.0,,
