Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame,
F,Alex Perez (12317737),Alex Perez,12317737,F,9200,De La Rosa@Perez 03/30/2019 03:30PM ET,Perez,0.7776049767,
F,Marina Rodriguez (12317719),Marina Rodriguez,12317719,F,9100,Aguilar@Rodriguez 03/30/2019 05:00PM ET,Rodriguez,0.772797527,
F,Kennedy Nzechukwu (12317723),Kennedy Nzechukwu,12317723,F,9000,Craig@Nzechukwu 03/30/2019 05:00PM ET,Nzechukwu,0.6297229219,
F,Kevin Holland (12317739),Kevin Holland,12317739,F,8900,Holland@Meerschaert 03/30/2019 05:00PM ET,Holland,0.6553079948,
F,Sodiq Yusuff (12317729),Sodiq Yusuff,12317729,F,8700,Moraes@Yusuff 03/30/2019 05:00PM ET,Yusuff,0.599880024,
F,Karolina Kowalkiewicz (12317717),Karolina Kowalkiewicz,12317717,F,8600,Kowalkiewicz@Waterson 03/30/2019 05:00PM ET,Kowalkiewicz,0.6079027356,
F,Edson Barboza (12317721),Edson Barboza,12317721,F,8500,Barboza@Gaethje 03/30/2019 05:00PM ET,Barboza,0.5834305718,
F,Jack Hermansson (12317731),Jack Hermansson,12317731,F,8300,Branch@Hermansson 03/30/2019 05:00PM ET,Hermansson,0.5743825388,
F,Enrique Barzola (12317735),Enrique Barzola,12317735,F,8200,Aguilar@Barzola 03/30/2019 05:00PM ET,Barzola,0.5555555556,
F,Kevin Aguilar (12317736),Kevin Aguilar,12317736,F,8000,Aguilar@Barzola 03/30/2019 05:00PM ET,Aguilar,0.512295082,
F,David Branch (12317732),David Branch,12317732,F,7900,Branch@Hermansson 03/30/2019 05:00PM ET,Branch,0.487804878,
F,Justin Gaethje (12317722),Justin Gaethje,12317722,F,7700,Barboza@Gaethje 03/30/2019 05:00PM ET,Gaethje,0.4761904762,
F,Michelle Waterson (12317718),Michelle Waterson,12317718,F,7600,Kowalkiewicz@Waterson 03/30/2019 05:00PM ET,Waterson,0.4444444444,
F,Gerald Meerschaert (12317740),Gerald Meerschaert,12317740,F,7300,Holland@Meerschaert 03/30/2019 05:00PM ET,Meerschaert,0.3921568627,
F,Paul Craig (12317724),Paul Craig,12317724,F,7200,Craig@Nzechukwu 03/30/2019 05:00PM ET,Craig,0.4166666667,
F,Jessica Aguilar (12317720),Jessica Aguilar,12317720,F,7100,Aguilar@Rodriguez 03/30/2019 05:00PM ET,Aguilar,0.2777777778,
F,Casey Kenney (12317742),Casey Kenney,12317742,F,6800,Borg@Kenney 03/30/2019 03:30PM ET,Kenney,0.3278688525,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Name + ID,AvgPointsPerGame,Bovada,Weight,Reach,Strikes_Per_Min,TD_Avg,Finish %,avg fight time,
Alex Perez (12317737),0.7776049767,1.286,123,65,4.99,3.65,0.476,,
Marina Rodriguez (12317719),0.772797527,1.294,115,65,5.26,0.83,0.6,9,
Kennedy Nzechukwu (12317723),0.6297229219,1.588,205,83,7.2,0,0.666,8,
Kevin Holland (12317739),0.6553079948,1.526,185,81,5.38,1.7,0.92,14,
Sodiq Yusuff (12317729),0.599880024,1.667,145,71,7.78,0,0.625,8,
Karolina Kowalkiewicz (12317717),0.6079027356,1.645,115,64,5.76,0.14,0.25,,
Edson Barboza (12317721),0.5834305718,1.714,155,75,3.99,0.46,0.6,,
Jack Hermansson (12317731),0.5743825388,1.741,185,77,4.92,2.12,0.83333,,
Enrique Barzola (12317735),0.5555555556,1.8,145,70,3.52,6.17,0.53,,
Kevin Aguilar (12317736),0.512295082,1.952,145,73,4.53,0,0.66,,
David Branch (12317732),0.487804878,2.05,185,78,1.67,2.58,0.59,,
Justin Gaethje (12317722),0.4761904762,2.1,155,70,8.53,0,0.894,,
Michelle Waterson (12317718),0.4444444444,2.25,115,62,2.94,2.23,0.75,,
Gerald Meerschaert (12317740),0.3921568627,2.55,185,77,3.48,2.61,0.92,6,
Paul Craig (12317724),0.4166666667,2.4,205,76,1.96,1.96,1,9,
Jessica Aguilar (12317720),0.2777777778,3.6,115,63,5.42,1.23,0.5,12,
Casey Kenney (12317742),0.3278688525,3.05,135,68,4.47,1.5,0.54,,
,,,,,,,,,
,,,,,,,,,
By Algo,Alex Perez (12317737),  Jack Hermansson (12317731),  Enrique Barzola (12317735),  Michelle Waterson (12317718),  Gerald Meerschaert (12317740),  Paul Craig (12317724),  47800.0,  148.5220849,
,Alex Perez (12317737),  Enrique Barzola (12317735),  David Branch (12317732),  Michelle Waterson (12317718),  Gerald Meerschaert (12317740),  Paul Craig (12317724),  47400.0,  146.30898,
,Alex Perez (12317737),  Kevin Holland (12317739),  Jack Hermansson (12317731),  Enrique Barzola (12317735),  Michelle Waterson (12317718),  Paul Craig (12317724),  49400.0,  145.3970849,
,Alex Perez (12317737),  Jack Hermansson (12317731),  Enrique Barzola (12317735),  Gerald Meerschaert (12317740),  Paul Craig (12317724),  Casey Kenney (12317742),  47000.0,  144.2282849,
,Alex Perez (12317737),  Jack Hermansson (12317731),  Enrique Barzola (12317735),  Michelle Waterson (12317718),  Gerald Meerschaert (12317740),  Casey Kenney (12317742),  47400.0,  144.1807849,
Weight,Kennedy Nzechukwu (12317723),  Sodiq Yusuff (12317729),  Edson Barboza (12317721),  Jack Hermansson (12317731),  Enrique Barzola (12317735),  Gerald Meerschaert (12317740),  50000.0,  1020.0,
,Kennedy Nzechukwu (12317723),  Sodiq Yusuff (12317729),  Edson Barboza (12317721),  Jack Hermansson (12317731),  Kevin Aguilar (12317736),  Gerald Meerschaert (12317740),  49800.0,  1020.0,
,Kennedy Nzechukwu (12317723),  Sodiq Yusuff (12317729),  Edson Barboza (12317721),  Enrique Barzola (12317735),  David Branch (12317732),  Gerald Meerschaert (12317740),  49600.0,  1020.0,
,Kennedy Nzechukwu (12317723),  Sodiq Yusuff (12317729),  Edson Barboza (12317721),  Kevin Aguilar (12317736),  David Branch (12317732),  Gerald Meerschaert (12317740),  49400.0,  1020.0,
,Kennedy Nzechukwu (12317723),  Sodiq Yusuff (12317729),  Jack Hermansson (12317731),  Enrique Barzola (12317735),  Justin Gaethje (12317722),  Gerald Meerschaert (12317740),  49200.0,  1020.0,
Strikes,Kennedy Nzechukwu (12317723),  Kevin Holland (12317739),  Sodiq Yusuff (12317729),  Karolina Kowalkiewicz (12317717),  Justin Gaethje (12317722),  Jessica Aguilar (12317720),  50000.0,  40.07,
,Kennedy Nzechukwu (12317723),  Sodiq Yusuff (12317729),  Karolina Kowalkiewicz (12317717),  Jack Hermansson (12317731),  Justin Gaethje (12317722),  Jessica Aguilar (12317720),  49400.0,  39.61000000000001,
,Kennedy Nzechukwu (12317723),  Kevin Holland (12317739),  Sodiq Yusuff (12317729),  Jack Hermansson (12317731),  Justin Gaethje (12317722),  Jessica Aguilar (12317720),  49700.0,  39.230000000000004,
,Kennedy Nzechukwu (12317723),  Sodiq Yusuff (12317729),  Karolina Kowalkiewicz (12317717),  Kevin Aguilar (12317736),  Justin Gaethje (12317722),  Jessica Aguilar (12317720),  49100.0,  39.220000000000006,
By Finish %,Kevin Holland (12317739),  Jack Hermansson (12317731),  Kevin Aguilar (12317736),  Justin Gaethje (12317722),  Michelle Waterson (12317718),  Paul Craig (12317724),  47700.0,  5.05733,
,Jack Hermansson (12317731),  Kevin Aguilar (12317736),  Justin Gaethje (12317722),  Michelle Waterson (12317718),  Gerald Meerschaert (12317740),  Paul Craig (12317724),  46100.0,  5.05733,
,Kevin Holland (12317739),  Sodiq Yusuff (12317729),  Jack Hermansson (12317731),  Justin Gaethje (12317722),  Michelle Waterson (12317718),  Paul Craig (12317724),  48400.0,  5.02233,
,Sodiq Yusuff (12317729),  Jack Hermansson (12317731),  Justin Gaethje (12317722),  Michelle Waterson (12317718),  Gerald Meerschaert (12317740),  Paul Craig (12317724),  46800.0,  5.02233,
,Marina Rodriguez (12317719),  Kevin Holland (12317739),  Jack Hermansson (12317731),  Justin Gaethje (12317722),  Michelle Waterson (12317718),  Paul Craig (12317724),  48800.0,  4.99733,
Bovada iinverse decimal format,Alex Perez (12317737),  Marina Rodriguez (12317719),  Karolina Kowalkiewicz (12317717),  Enrique Barzola (12317735),  Justin Gaethje (12317722),  Paul Craig (12317724),  50000.0,  3.6067179377999996,
,Alex Perez (12317737),  Marina Rodriguez (12317719),  Kevin Holland (12317739),  David Branch (12317732),  Justin Gaethje (12317722),  Paul Craig (12317724),  50000.0,  3.5863725194,
,Alex Perez (12317737),  Marina Rodriguez (12317719),  Kevin Holland (12317739),  Jack Hermansson (12317731),  Justin Gaethje (12317722),  Casey Kenney (12317742),  50000.0,  3.5841523660000005,
,Alex Perez (12317737),  Marina Rodriguez (12317719),  Kevin Holland (12317739),  Kevin Aguilar (12317736),  Michelle Waterson (12317718),  Paul Craig (12317724),  50000.0,  3.5791166916000003,
,Alex Perez (12317737),  Marina Rodriguez (12317719),  Karolina Kowalkiewicz (12317717),  Kevin Aguilar (12317736),  David Branch (12317732),  Paul Craig (12317724),  50000.0,  3.5750718659999996,
,Alex Perez (12317737),  Marina Rodriguez (12317719),  Jack Hermansson (12317731),  Enrique Barzola (12317735),  Justin Gaethje (12317722),  Paul Craig (12317724),  49700.0,  3.573197741,
,Alex Perez (12317737),  Marina Rodriguez (12317719),  Karolina Kowalkiewicz (12317717),  Jack Hermansson (12317731),  Kevin Aguilar (12317736),  Casey Kenney (12317742),  50000.0,  3.5728517126,
,Alex Perez (12317737),  Marina Rodriguez (12317719),  Edson Barboza (12317721),  Jack Hermansson (12317731),  Michelle Waterson (12317718),  Paul Craig (12317724),  49900.0,  3.5693267254000003,
,Alex Perez (12317737),  Marina Rodriguez (12317719),  Sodiq Yusuff (12317729),  Enrique Barzola (12317735),  Michelle Waterson (12317718),  Paul Craig (12317724),  50000.0,  3.5669491944,
,Alex Perez (12317737),  Marina Rodriguez (12317719),  Kevin Holland (12317739),  Enrique Barzola (12317735),  Justin Gaethje (12317722),  Casey Kenney (12317742),  49900.0,  3.5653253828,
,Alex Perez (12317737),  Marina Rodriguez (12317719),  Karolina Kowalkiewicz (12317717),  Kevin Aguilar (12317736),  Justin Gaethje (12317722),  Paul Craig (12317724),  49800.0,  3.5634574641999994,
,Alex Perez (12317737),  Marina Rodriguez (12317719),  Kevin Holland (12317739),  Karolina Kowalkiewicz (12317717),  Paul Craig (12317724),  Casey Kenney (12317742),  49800.0,  3.5581487533,
,Alex Perez (12317737),  Marina Rodriguez (12317719),  Jack Hermansson (12317731),  Kevin Aguilar (12317736),  Justin Gaethje (12317722),  Michelle Waterson (12317718),  49900.0,  3.5577150451,
,Alex Perez (12317737),  Marina Rodriguez (12317719),  Sodiq Yusuff (12317729),  Kevin Aguilar (12317736),  Justin Gaethje (12317722),  Paul Craig (12317724),  49900.0,  3.5554347525999996,
,Alex Perez (12317737),  Marina Rodriguez (12317719),  Kevin Holland (12317739),  David Branch (12317732),  Michelle Waterson (12317718),  Paul Craig (12317724),  49900.0,  3.5546264876,
,Alex Perez (12317737),  Marina Rodriguez (12317719),  Kevin Holland (12317739),  Jack Hermansson (12317731),  Michelle Waterson (12317718),  Casey Kenney (12317742),  49900.0,  3.5524063342000005,
,Alex Perez (12317737),  Marina Rodriguez (12317719),  Edson Barboza (12317721),  Kevin Aguilar (12317736),  David Branch (12317732),  Paul Craig (12317724),  49900.0,  3.5505997022,
,Alex Perez (12317737),  Marina Rodriguez (12317719),  Karolina Kowalkiewicz (12317717),  Edson Barboza (12317721),  Gerald Meerschaert (12317740),  Paul Craig (12317724),  49900.0,  3.5505593404999995,
,Alex Perez (12317737),  Marina Rodriguez (12317719),  Edson Barboza (12317721),  Enrique Barzola (12317735),  Michelle Waterson (12317718),  Paul Craig (12317724),  49800.0,  3.5504997422,
,Alex Perez (12317737),  Marina Rodriguez (12317719),  Kevin Holland (12317739),  Sodiq Yusuff (12317729),  Paul Craig (12317724),  Casey Kenney (12317742),  49900.0,  3.5501260417,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Final,,,,,,,,,
By Algo,Alex Perez (12317737),  Jack Hermansson (12317731),  Enrique Barzola (12317735),  Michelle Waterson (12317718),  Gerald Meerschaert (12317740),  Paul Craig (12317724),  47800.0,  148.5220849,
,Alex Perez (12317737),  Enrique Barzola (12317735),  David Branch (12317732),  Michelle Waterson (12317718),  Gerald Meerschaert (12317740),  Paul Craig (12317724),  47400.0,  146.30898,
,Alex Perez (12317737),  Kevin Holland (12317739),  Jack Hermansson (12317731),  Enrique Barzola (12317735),  Michelle Waterson (12317718),  Paul Craig (12317724),  49400.0,  145.3970849,
By Weight,Kennedy Nzechukwu (12317723),  Sodiq Yusuff (12317729),  Edson Barboza (12317721),  Jack Hermansson (12317731),  Enrique Barzola (12317735),  Gerald Meerschaert (12317740),  50000.0,  1020.0,
,Kennedy Nzechukwu (12317723),  Sodiq Yusuff (12317729),  Edson Barboza (12317721),  Jack Hermansson (12317731),  Kevin Aguilar (12317736),  Gerald Meerschaert (12317740),  49800.0,  1020.0,
,Kennedy Nzechukwu (12317723),  Sodiq Yusuff (12317729),  Edson Barboza (12317721),  Enrique Barzola (12317735),  David Branch (12317732),  Gerald Meerschaert (12317740),  49600.0,  1020.0,
