Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
F,Nathaniel Wood (12230425),Nathaniel Wood,12230425,F,9400,Quinonez@Wood 03/16/2019 01:00PM ET,Wood,104.77
F,Dominick Reyes (12230415),Dominick Reyes,12230415,F,9300,Oezdemir@Reyes 03/16/2019 01:00PM ET,Reyes,112.075
F,Joe Duffy (12230432),Joe Duffy,12230432,F,9100,Diakiese@Duffy 03/16/2019 01:00PM ET,Duffy,92.475
F,Nicolae Negumereanu (12230413),Nicolae Negumereanu,12230413,F,9000,Negumereanu@Safarov 03/16/2019 01:00PM ET,Negumereanu,96.8429545455
F,Nad Narimani (12230429),Nad Narimani,12230429,F,8900,Grundy@Narimani 03/16/2019 01:00PM ET,Narimani,93.4975
F,Jack Marshman (12230407),Jack Marshman,12230407,F,8800,Marshman@Phillips 03/16/2019 01:00PM ET,Marshman,82.8825
F,Tom Breese (12230417),Tom Breese,12230417,F,8400,Breese@Heinisch 03/16/2019 01:00PM ET,Breese,96.375
F,Dan Ige (12230427),Dan Ige,12230427,F,8200,Henry@Ige 03/16/2019 01:00PM ET,Ige,96.55
F,John Phillips (12230408),John Phillips,12230408,F,7400,Marshman@Phillips 03/16/2019 01:00PM ET,Phillips,96.225
F,Claudio Silva (12230409),Claudio Silva,12230409,F,8600,Roberts@Silva 03/16/2019 01:00PM ET,Silva,96.8429545455
F,Danny Roberts (12230410),Danny Roberts,12230410,F,7600,Roberts@Silva 03/16/2019 01:00PM ET,Roberts,96.8429545455
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Nathaniel Wood (12230425),  Darren Till (12230419),  Tom Breese (12230417),  Danny Henry (12230428),  John Phillips (12230408),  Volkan Oezdemir (12230416),  49300.0,  587.7924999999999,
Nicolae Negumereanu (12230413),  Nad Narimani (12230429),  Jack Marshman (12230407),  Tom Breese (12230417),  Danny Henry (12230428),  Volkan Oezdemir (12230416),  50000.0,  587.0954545454999,
Nathaniel Wood (12230425),  Darren Till (12230419),  Nad Narimani (12230429),  Danny Henry (12230428),  John Phillips (12230408),  Volkan Oezdemir (12230416),  49800.0,  584.915,
Nicolae Negumereanu (12230413),  Nad Narimani (12230429),  Tom Breese (12230417),  Dan Ige (12230427),  John Phillips (12230408),  Volkan Oezdemir (12230416),  48800.0,  584.1654545455,
Nathaniel Wood (12230425),  Darren Till (12230419),  Joe Duffy (12230432),  Danny Henry (12230428),  John Phillips (12230408),  Volkan Oezdemir (12230416),  50000.0,  583.8924999999999,
Joe Duffy (12230432),  Nicolae Negumereanu (12230413),  Tom Breese (12230417),  Dan Ige (12230427),  John Phillips (12230408),  Volkan Oezdemir (12230416),  49000.0,  583.1429545455,
Joe Duffy (12230432),  Nicolae Negumereanu (12230413),  Nad Narimani (12230429),  Dan Ige (12230427),  John Phillips (12230408),  Volkan Oezdemir (12230416),  49500.0,  580.2654545455,
Joe Duffy (12230432),  Nicolae Negumereanu (12230413),  Nad Narimani (12230429),  Tom Breese (12230417),  John Phillips (12230408),  Volkan Oezdemir (12230416),  49700.0,  580.0904545454999,
Darren Till (12230419),  Nicolae Negumereanu (12230413),  Tom Breese (12230417),  Danny Henry (12230428),  John Phillips (12230408),  Volkan Oezdemir (12230416),  48900.0,  579.8654545454999,
Joe Duffy (12230432),  Nad Narimani (12230429),  Tom Breese (12230417),  Dan Ige (12230427),  John Phillips (12230408),  Volkan Oezdemir (12230416),  48900.0,  579.7974999999999,
Darren Till (12230419),  Nicolae Negumereanu (12230413),  Nad Narimani (12230429),  Danny Henry (12230428),  John Phillips (12230408),  Volkan Oezdemir (12230416),  49400.0,  576.9879545455,
Darren Till (12230419),  Nad Narimani (12230429),  Tom Breese (12230417),  Danny Henry (12230428),  John Phillips (12230408),  Volkan Oezdemir (12230416),  48800.0,  576.52,
Darren Till (12230419),  Joe Duffy (12230432),  Nicolae Negumereanu (12230413),  Danny Henry (12230428),  John Phillips (12230408),  Volkan Oezdemir (12230416),  49600.0,  575.9654545454999,
Darren Till (12230419),  Joe Duffy (12230432),  Tom Breese (12230417),  Danny Henry (12230428),  John Phillips (12230408),  Volkan Oezdemir (12230416),  49000.0,  575.4975,
Darren Till (12230419),  Joe Duffy (12230432),  Nad Narimani (12230429),  Danny Henry (12230428),  John Phillips (12230408),  Volkan Oezdemir (12230416),  49500.0,  572.6199999999999,
Nathaniel Wood (12230425),  Darren Till (12230419),  Tom Breese (12230417),  Dan Ige (12230427),  John Phillips (12230408),  Volkan Oezdemir (12230416),  49500.0,  571.52,
Nathaniel Wood (12230425),  Darren Till (12230419),  Nad Narimani (12230429),  Dan Ige (12230427),  John Phillips (12230408),  Volkan Oezdemir (12230416),  50000.0,  568.6424999999999,
Darren Till (12230419),  Nicolae Negumereanu (12230413),  Tom Breese (12230417),  Dan Ige (12230427),  John Phillips (12230408),  Volkan Oezdemir (12230416),  49100.0,  563.5929545455,
Darren Till (12230419),  Nicolae Negumereanu (12230413),  Nad Narimani (12230429),  Dan Ige (12230427),  John Phillips (12230408),  Volkan Oezdemir (12230416),  49600.0,  560.7154545454999,
Darren Till (12230419),  Nicolae Negumereanu (12230413),  Nad Narimani (12230429),  Tom Breese (12230417),  John Phillips (12230408),  Volkan Oezdemir (12230416),  49800.0,  560.5404545455,
Darren Till (12230419),  Nad Narimani (12230429),  Tom Breese (12230417),  Dan Ige (12230427),  John Phillips (12230408),  Volkan Oezdemir (12230416),  49000.0,  560.2475,
Darren Till (12230419),  Joe Duffy (12230432),  Nicolae Negumereanu (12230413),  Dan Ige (12230427),  John Phillips (12230408),  Volkan Oezdemir (12230416),  49800.0,  559.6929545454999,
Darren Till (12230419),  Joe Duffy (12230432),  Nicolae Negumereanu (12230413),  Tom Breese (12230417),  John Phillips (12230408),  Volkan Oezdemir (12230416),  50000.0,  559.5179545455,
Darren Till (12230419),  Joe Duffy (12230432),  Tom Breese (12230417),  Dan Ige (12230427),  John Phillips (12230408),  Volkan Oezdemir (12230416),  49200.0,  559.2249999999999,
Darren Till (12230419),  Joe Duffy (12230432),  Nad Narimani (12230429),  Dan Ige (12230427),  John Phillips (12230408),  Volkan Oezdemir (12230416),  49700.0,  556.3475,
Darren Till (12230419),  Joe Duffy (12230432),  Nad Narimani (12230429),  Tom Breese (12230417),  John Phillips (12230408),  Volkan Oezdemir (12230416),  49900.0,  556.1724999999999,
44 line ups are displayed,,,,,,,,
,,,,,,,,
Nathaniel Wood (12230425),  Nicolae Negumereanu (12230413),  Danny Henry (12230428),  John Phillips (12230408),  Volkan Oezdemir (12230416),  Claudio Silva (12230409),  49300.0,  612.1784090909999,
Nathaniel Wood (12230425),  Nicolae Negumereanu (12230413),  Tom Breese (12230417),  Danny Henry (12230428),  John Phillips (12230408),  Volkan Oezdemir (12230416),  49100.0,  611.7104545454999,
Nathaniel Wood (12230425),  Tom Breese (12230417),  Danny Henry (12230428),  John Phillips (12230408),  Volkan Oezdemir (12230416),  Claudio Silva (12230409),  48700.0,  611.7104545454999,
Nathaniel Wood (12230425),  Nicolae Negumereanu (12230413),  Nad Narimani (12230429),  Danny Henry (12230428),  John Phillips (12230408),  Volkan Oezdemir (12230416),  49600.0,  608.8329545455,
Nathaniel Wood (12230425),  Nad Narimani (12230429),  Danny Henry (12230428),  John Phillips (12230408),  Volkan Oezdemir (12230416),  Claudio Silva (12230409),  49200.0,  608.8329545455,
