Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
F,Valentina Shevchenko (13093996),Valentina Shevchenko,13093996,F,9600,Carmouche@Shevchenko 08/10/2019 05:00PM ET,Shevchenko,0
F,Ciryl Gane (13093988),Ciryl Gane,13093988,F,9400,Gane@Pessoa 08/10/2019 05:00PM ET,Gane,100
F,Alex Da Silva (13094004),Alex Da Silva,13094004,F,9200,Da Silva@Vargas 08/10/2019 05:00PM ET,Da Silva,100
F,Rodolfo Vieira (13094000),Rodolfo Vieira,13094000,F,9100,Piechota@Vieira 08/10/2019 05:00PM ET,Vieira,110
F,Vicente Luque (13094002),Vicente Luque,13094002,F,9000,Luque@Perry 08/10/2019 05:00PM ET,Luque,125
F,Enrique Barzola (13093990),Enrique Barzola,13093990,F,8900,Barzola@Moffett 08/10/2019 05:00PM ET,Barzola,0
F,Aleksei Kunchenko (13094006),Aleksei Kunchenko,13094006,F,8800,Burns@Kunchenko 08/10/2019 05:00PM ET,Kunchenko,80
F,Tecia Torres (13093984),Tecia Torres,13093984,F,8700,Rodriguez@Torres 08/10/2019 05:00PM ET,Torres,0
F,Polyana Viana (13093986),Polyana Viana,13093986,F,8600,Macedo@Viana 08/10/2019 05:00PM ET,Viana,0
F,Volkan Oezdemir (13094008),Volkan Oezdemir,13094008,F,8500,Latifi@Oezdemir 08/10/2019 05:00PM ET,Oezdemir,100
F,Eduardo Garagorri (13093998),Eduardo Garagorri,13093998,F,8400,Bandenay@Garagorri 08/10/2019 05:00PM ET,Garagorri,100
F,Geraldo de Freitas (13093992),Geraldo de Freitas,13093992,F,8300,de Freitas@Gutierrez 08/10/2019 05:00PM ET,de Freitas,127.5
F,Rogerio Bontorin (13093994),Rogerio Bontorin,13093994,F,8200,Bontorin@Paiva 08/10/2019 05:00PM ET,Bontorin,90
F,Raulian Paiva (13093995),Raulian Paiva,13093995,F,8000,Bontorin@Paiva 08/10/2019 05:00PM ET,Paiva,0
F,Chris Gutierrez (13093993),Chris Gutierrez,13093993,F,7900,de Freitas@Gutierrez 08/10/2019 05:00PM ET,Gutierrez,0
F,Humberto Bandenay (13093999),Humberto Bandenay,13093999,F,7800,Bandenay@Garagorri 08/10/2019 05:00PM ET,Bandenay,75
F,Ilir Latifi (13094009),Ilir Latifi,13094009,F,7700,Latifi@Oezdemir 08/10/2019 05:00PM ET,Latifi,120
F,Veronica Macedo (13093987),Veronica Macedo,13093987,F,7600,Macedo@Viana 08/10/2019 05:00PM ET,Macedo,0
F,Marina Rodriguez (13093985),Marina Rodriguez,13093985,F,7500,Rodriguez@Torres 08/10/2019 05:00PM ET,Rodriguez,0
F,Gilbert Burns (13094007),Gilbert Burns,13094007,F,7400,Burns@Kunchenko 08/10/2019 05:00PM ET,Burns,80
F,Bobby Moffett (13093991),Bobby Moffett,13093991,F,7300,Barzola@Moffett 08/10/2019 05:00PM ET,Moffett,0
F,Mike Perry (13094003),Mike Perry,13094003,F,7200,Luque@Perry 08/10/2019 05:00PM ET,Perry,100
F,Oskar Piechota (13094001),Oskar Piechota,13094001,F,7100,Piechota@Vieira 08/10/2019 05:00PM ET,Piechota,100
F,Kazula Vargas (13094005),Kazula Vargas,13094005,F,7000,Da Silva@Vargas 08/10/2019 05:00PM ET,Vargas,80
F,Raphael Pessoa (13093989),Raphael Pessoa,13093989,F,6800,Gane@Pessoa 08/10/2019 05:00PM ET,Pessoa,100
F,Liz Carmouche (13093997),Liz Carmouche,13093997,F,6600,Carmouche@Shevchenko 08/10/2019 05:00PM ET,Carmouche,0
