Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
F,Montel Jackson (12421706),Montel Jackson,12421706,F,9400,Jackson@Soukhamthath 04/13/2019 06:15PM ET,Jackson,63
F,Israel Adesanya (12421698),Israel Adesanya,12421698,F,9200,Adesanya@Gastelum 04/13/2019 06:15PM ET,Adesanya,89.8
F,Max Holloway (12421700),Max Holloway,12421700,F,9100,Holloway@Poirier 04/13/2019 06:15PM ET,Holloway,92.24
F,Eryk Anders (12421702),Eryk Anders,12421702,F,9000,Anders@Rountree Jr. 04/13/2019 06:15PM ET,Anders,70.92
F,Poliana Botelho (12421720),Poliana Botelho,12421720,F,8900,Botelho@Mueller 04/13/2019 06:15PM ET,Botelho,58.67
F,Alexandre Pantoja (12421704),Alexandre Pantoja,12421704,F,8800,Pantoja@Reis 04/13/2019 06:15PM ET,Pantoja,79.4
F,Brandon Davis (12421722),Brandon Davis,12421722,F,8700,Costa@Davis 04/13/2019 06:15PM ET,Davis,35.5
F,Boston Salmon (12421710),Boston Salmon,12421710,F,8600,Salmon@Taha 04/13/2019 06:15PM ET,Salmon,0
F,Belal Muhammad (12421718),Belal Muhammad,12421718,F,8500,Millender@Muhammad 04/13/2019 06:15PM ET,Muhammad,64.69
F,Jalin Turner (12421714),Jalin Turner,12421714,F,8400,Frevola@Turner 04/13/2019 06:15PM ET,Turner,61.5
F,Alan Jouban (12421716),Alan Jouban,12421716,F,8300,Grant@Jouban 04/13/2019 06:15PM ET,Jouban,70.86
F,Nikita Krylov (12421708),Nikita Krylov,12421708,F,8200,Krylov@Saint Preux 04/13/2019 06:15PM ET,Krylov,70.85
F,Zelim Imadaev (12421713),Zelim Imadaev,12421713,F,8200,Griffin@Imadaev 04/13/2019 06:15PM ET,Imadaev,0
F,Ovince Saint Preux (12421709),Ovince Saint Preux,12421709,F,8000,Krylov@Saint Preux 04/13/2019 06:15PM ET,Saint Preux,62.94
F,Max Griffin (12421712),Max Griffin,12421712,F,8000,Griffin@Imadaev 04/13/2019 06:15PM ET,Griffin,58.42
F,Dwight Grant (12421717),Dwight Grant,12421717,F,7900,Grant@Jouban 04/13/2019 06:15PM ET,Grant,63.75
F,Matt Frevola (12421715),Matt Frevola,12421715,F,7800,Frevola@Turner 04/13/2019 06:15PM ET,Frevola,27.75
F,Curtis Millender (12421719),Curtis Millender,12421719,F,7700,Millender@Muhammad 04/13/2019 06:15PM ET,Millender,61.25
F,Khalid Taha (12421711),Khalid Taha,12421711,F,7600,Salmon@Taha 04/13/2019 06:15PM ET,Taha,26
F,Randy Costa (12421723),Randy Costa,12421723,F,7500,Costa@Davis 04/13/2019 06:15PM ET,Costa,0
F,Wilson Reis (12421705),Wilson Reis,12421705,F,7400,Pantoja@Reis 04/13/2019 06:15PM ET,Reis,70.42
F,Lauren Mueller (12421721),Lauren Mueller,12421721,F,7300,Botelho@Mueller 04/13/2019 06:15PM ET,Mueller,40.25
F,Khalil Rountree Jr. (12421703),Khalil Rountree Jr.,12421703,F,7200,Anders@Rountree Jr. 04/13/2019 06:15PM ET,Rountree Jr.,51.43
