Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
1,Jon Jones (12148414),Jon Jones,12148414,F,9600,Jones@Smith 03/02/2019 08:00PM ET,Jones,110
2,Macy Chiasson (12148400),Macy Chiasson,12148400,F,9400,Chiasson@Mazany 03/02/2019 06:30PM ET,Chiasson,98
3,Polyana Viana (12148417),Polyana Viana,12148417,F,9200,Cifers@Viana 03/02/2019 06:30PM ET,Viana,74.5
4,Mickey Gall (12148398),Mickey Gall,12148398,F,9100,Gall@Sanchez 03/02/2019 08:00PM ET,Gall,88.6
5,Ben Askren (12148392),Ben Askren,12148392,F,9000,Askren@Lawler 03/02/2019 08:00PM ET,Askren,80
6,Zabit Magomedsharipov (12148394),Zabit Magomedsharipov,12148394,F,8900,Magomedsharipov@Stephens 03/02/2019 08:00PM ET,Magomedsharipov,123.5
7,Tyron Woodley (12148404),Tyron Woodley,12148404,F,8700,Usman@Woodley 03/02/2019 08:00PM ET,Woodley,77.58
8,Cody Stamann (12148410),Cody Stamann,12148410,F,8600,Perez@Stamann 03/02/2019 08:00PM ET,Stamann,80.62
9,Cody Garbrandt (12148406),Cody Garbrandt,12148406,F,8500,Garbrandt@Munhoz 03/02/2019 08:00PM ET,Garbrandt,78.62
10,Johnny Walker (12148402),Johnny Walker,12148402,F,8400,Cirkunov@Walker 03/02/2019 08:00PM ET,Walker,104.25
11,Weili Zhang (12148396),Weili Zhang,12148396,F,8300,Torres@Zhang 03/02/2019 08:00PM ET,Zhang,100
12,Edmen Shahbazyan (12148412),Edmen Shahbazyan,12148412,F,8200,Byrd@Shahbazyan 03/02/2019 06:30PM ET,Shahbazyan,90
13,Charles Byrd (12148413),Charles Byrd,12148413,F,8000,Byrd@Shahbazyan 03/02/2019 06:30PM ET,Byrd,64.25
14,Tecia Torres (12148397),Tecia Torres,12148397,F,7900,Torres@Zhang 03/02/2019 08:00PM ET,Torres,64.17
15,Misha Cirkunov (12148403),Misha Cirkunov,12148403,F,7800,Cirkunov@Walker 03/02/2019 08:00PM ET,Cirkunov,78.64
16,Pedro Munhoz (12148407),Pedro Munhoz,12148407,F,7700,Garbrandt@Munhoz 03/02/2019 08:00PM ET,Munhoz,83.14
17,Alejandro Perez (12148411),Alejandro Perez,12148411,F,7600,Perez@Stamann 03/02/2019 08:00PM ET,Perez,61.67
18,Kamaru Usman (12148405),Kamaru Usman,12148405,F,7500,Usman@Woodley 03/02/2019 08:00PM ET,Usman,107.28
19,Jeremy Stephens (12148395),Jeremy Stephens,12148395,F,7300,Magomedsharipov@Stephens 03/02/2019 08:00PM ET,Stephens,57.07
20,Robbie Lawler (12148393),Robbie Lawler,12148393,F,7200,Askren@Lawler 03/02/2019 08:00PM ET,Lawler,69.74
21,Diego Sanchez (12148399),Diego Sanchez,12148399,F,7100,Gall@Sanchez 03/02/2019 08:00PM ET,Sanchez,56.2
22,Hannah Cifers (12148416),Hannah Cifers,12148416,F,7000,Cifers@Viana 03/02/2019 06:30PM ET,Cifers,20.5
23,Gina Mazany (12148401),Gina Mazany,12148401,F,6800,Chiasson@Mazany 03/02/2019 06:30PM ET,Mazany,35.33
24,Anthony Smith (12148415),Anthony Smith,12148415,F,6600,Jones@Smith 03/02/2019 08:00PM ET,Smith,67.45
